# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 203.102 h/Mpc,
# number of wavenumbers equal to 845
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_fld                  6:d_ur                   7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_cdm                 13:t_fld                 14:t_ur                  15:t_tot              
       5.109287971439e-01      -3.069547473576e-02      -3.135551552245e+02      -4.402991449355e+02       0.000000000000e+00      -3.067915928664e-02      -4.073148771785e+02       7.669789821659e-03       7.669789821659e-03      -1.190239583799e-06       5.036071968886e-01       5.243371015604e-01                      nan      -1.163889660292e-06       5.009936697949e-01 
       5.140298188999e-01      -3.040696383835e-02      -3.143653693980e+02      -4.414774695968e+02       0.000000000000e+00      -3.039080207949e-02      -4.084003041462e+02       7.597700519873e-03       7.597700519873e-03      -1.179087774418e-06       5.049372157991e-01       5.257345887798e-01                      nan      -1.152986560724e-06       5.023270105629e-01 
       5.171308407990e-01      -3.012180500673e-02      -3.151384146587e+02      -4.426409942396e+02       0.000000000000e+00      -3.010579534099e-02      -4.094677906357e+02       7.526448835247e-03       7.526448835247e-03      -1.168074314503e-06       5.062386216172e-01       5.271097209346e-01                      nan      -1.142219500983e-06       5.036378627619e-01 
       5.202318628386e-01      -2.984035781149e-02      -3.158849604048e+02      -4.437938170488e+02       0.000000000000e+00      -2.982449837856e-02      -4.105223646624e+02       7.456124594640e-03       7.456124594640e-03      -1.157212767191e-06       5.075206095037e-01       5.284694836973e-01                      nan      -1.131601513912e-06       5.049332939140e-01 
       5.233328850162e-01      -2.956286859459e-02      -3.166155730250e+02      -4.449387654885e+02       0.000000000000e+00      -2.954715732975e-02      -4.115680066792e+02       7.386789332437e-03       7.386789332437e-03      -1.146510757621e-06       5.087908973873e-01       5.298191508794e-01                      nan      -1.121139787068e-06       5.062187622781e-01 
       5.264339073294e-01      -2.928955645868e-02      -3.173408634326e+02      -4.460788828274e+02       0.000000000000e+00      -2.927399111342e-02      -4.126088793573e+02       7.318497778355e-03       7.318497778355e-03      -1.135972175283e-06       5.100568669631e-01       5.311637900098e-01                      nan      -1.110837814708e-06       5.074995071872e-01 
       5.295349297758e-01      -2.902038689910e-02      -3.180683604227e+02      -4.472142553512e+02       0.000000000000e+00      -2.900496518680e-02      -4.136462541049e+02       7.251241296699e-03       7.251241296699e-03      -1.125588826239e-06       5.113213826986e-01       5.325041122046e-01                      nan      -1.100687258828e-06       5.087765528716e-01 
       5.326359523530e-01      -2.875531864069e-02      -3.188044879011e+02      -4.483452253831e+02       0.000000000000e+00      -2.874003825467e-02      -4.146814337801e+02       7.185009563667e-03       7.185009563667e-03      -1.115352292381e-06       5.125867939741e-01       5.338407857245e-01                      nan      -1.090679607502e-06       5.100508077117e-01 
       5.357369750589e-01      -2.849424003641e-02      -3.195534959889e+02      -4.494711745491e+02       0.000000000000e+00      -2.847909870253e-02      -4.157145948073e+02       7.119774675632e-03       7.119774675632e-03      -1.105253864750e-06       5.138537267802e-01       5.351732154684e-01                      nan      -1.080806165198e-06       5.113218923713e-01 
       5.388379978910e-01      -2.823720110796e-02      -3.203196871295e+02      -4.505937279742e+02       0.000000000000e+00      -2.822219651429e-02      -4.167477424435e+02       7.055549128572e-03       7.055549128572e-03      -1.095295162890e-06       5.151252031661e-01       5.365038609375e-01                      nan      -1.071068473989e-06       5.125922611314e-01 
