# Rescaled matter transfer functions [-T_i(k)/k^2] for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 200.404 h/Mpc,
# number of wavenumbers equal to 797
# T_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# The rescaling factor [-1/k^2] with k in 1/Mpc is here to match the CMBFAST/CAMB output convention
#
#
#    1:k (h/Mpc)              2:-T_cdm/k2              3:-T_b/k2                4:-T_g/k2                5:-T_ur/k2               6:-T_ncdm/k2             7:-T_tot/k2          
       1.310598032712e-02       1.849203724151e+05       1.729852643762e+05       9.082377655995e+03       6.707976070646e+03       0.000000000000e+00       1.778917956207e+05 
       1.323036937300e-02       1.842785898504e+05       1.721534964329e+05       8.703162573791e+03       6.404334763317e+03       0.000000000000e+00       1.772282011583e+05 
       1.335479442371e-02       1.836384509979e+05       1.713227595018e+05       8.317853280013e+03       6.115918534163e+03       0.000000000000e+00       1.765661809284e+05 
       1.347925557895e-02       1.829999680874e+05       1.704930756323e+05       7.929153157863e+03       5.843845149615e+03       0.000000000000e+00       1.759058079360e+05 
       1.360375296130e-02       1.823631163124e+05       1.696644495954e+05       7.539678945090e+03       5.589060073178e+03       0.000000000000e+00       1.752471188509e+05 
       1.372828671577e-02       1.817279147335e+05       1.688369093095e+05       7.152046389026e+03       5.352252395429e+03       0.000000000000e+00       1.745901865787e+05 
       1.385285700951e-02       1.810943250799e+05       1.680103821980e+05       6.768724034172e+03       5.133937099292e+03       0.000000000000e+00       1.739350168825e+05 
       1.397746403149e-02       1.804624116026e+05       1.671851173356e+05       6.392095186321e+03       4.934392631337e+03       0.000000000000e+00       1.732817457807e+05 
       1.410210799223e-02       1.798321400391e+05       1.663610143751e+05       6.024400187619e+03       4.753696608491e+03       0.000000000000e+00       1.726303687659e+05 
       1.422678912359e-02       1.792035106967e+05       1.655380970359e+05       5.667722658880e+03       4.591752591747e+03       0.000000000000e+00       1.719809244336e+05 
       1.435150767850e-02       1.785765229304e+05       1.647163964891e+05       5.323970258897e+03       4.448205742155e+03       0.000000000000e+00       1.713334457188e+05 
       1.447626393085e-02       1.779511645939e+05       1.638958941099e+05       4.994899579554e+03       4.322609737245e+03       0.000000000000e+00       1.706879446057e+05 
       1.460105817528e-02       1.773274495719e+05       1.630766772562e+05       4.682075916697e+03       4.214313964263e+03       0.000000000000e+00       1.700444654156e+05 
       1.472589072706e-02       1.767053953912e+05       1.622588061764e+05       4.386845147181e+03       4.122493316633e+03       0.000000000000e+00       1.694030452723e+05 
       1.485076192202e-02       1.760849605821e+05       1.614422037091e+05       4.110356339090e+03       4.046203909343e+03       0.000000000000e+00       1.687636467211e+05 
       1.497567211642e-02       1.754661751681e+05       1.606269620922e+05       3.853562256542e+03       3.984374815554e+03       0.000000000000e+00       1.681263124828e+05 
       1.510062168691e-02       1.748490031860e+05       1.598130288764e+05       3.617228284502e+03       3.935863190551e+03       0.000000000000e+00       1.674910045832e+05 
       1.522561103051e-02       1.742334878342e+05       1.590005316652e+05       3.401831998570e+03       3.899376623793e+03       0.000000000000e+00       1.668577713113e+05 
       1.535064056456e-02       1.736196043674e+05       1.581894849866e+05       3.207762851028e+03       3.873633529861e+03       0.000000000000e+00       1.662265863976e+05 
       1.547571072678e-02       1.730073558816e+05       1.573798018894e+05       3.035127637485e+03       3.857246364289e+03       0.000000000000e+00       1.655974238734e+05 
       1.560082197522e-02       1.723967397874e+05       1.565716108539e+05       2.883854761217e+03       3.848817144988e+03       0.000000000000e+00       1.649702843527e+05 
       1.572597478839e-02       1.717877690692e+05       1.557649500837e+05       2.753687812779e+03       3.846933202170e+03       0.000000000000e+00       1.643451633402e+05 
       1.585116966523e-02       1.711804222890e+05       1.549597791095e+05       2.644224398324e+03       3.850194281521e+03       0.000000000000e+00       1.637220135005e+05 
       1.597640712530e-02       1.705747020259e+05       1.541560078189e+05       2.554845610385e+03       3.857205925803e+03       0.000000000000e+00       1.631007954233e+05 
       1.610168770878e-02       1.699706249269e+05       1.533541659829e+05       2.484786350768e+03       3.866625224961e+03       0.000000000000e+00       1.624815781366e+05 
       1.622701197668e-02       1.693681578046e+05       1.525534777370e+05       2.433174654362e+03       3.877151758862e+03       0.000000000000e+00       1.618641805581e+05 
       1.635238051089e-02       1.687673236058e+05       1.517546507541e+05       2.398978805798e+03       3.887556276537e+03       0.000000000000e+00       1.612487019933e+05 
       1.647779391440e-02       1.681681388568e+05       1.509574713073e+05       2.381035450399e+03       3.896686753116e+03       0.000000000000e+00       1.606350881673e+05 
       1.660325281146e-02       1.675705854234e+05       1.501619206348e+05       2.378123625810e+03       3.903477914041e+03       0.000000000000e+00       1.600232878309e+05 
